ID,Sentence,Words
28465,"ولكن عوضا عن ذلك، وثقوا بفكرة النظام غير الشخصي والبيروقراطي الذي من شأنه أن يكون معزولا ويعمل في هذا النظام.",20
26380,اقترب من البيانو الذي كان هناك و عدل من وضعيته و بدء يعزف لحنا كهذا,15
105949,"ما المهم من هذا المعرض هو الطريقة التي حفزتني في عملي بصفتي كمنسقة ، كحافز لهذا الحوار",17
61132,"ودولتنا تعتمد على امنها من خلال التحالفات العسكرية ,هذا واضح",10
133981,"باعتقادي هذه الكلمة تدل على شيء معين قوي جدا، مهم جدا، وممل جدا.",13
146849,"مجلة أخرى أطلقتها قريباً تسمى أعمال 2.0 كان أكبر من فهرس الهاتف، مشغول بضخ الهواء السخن داخل الفقاعة",18
171794,"31 هو عدد اولي، والخمسة هي محل القوة أيضا عدد أولي.",11
6132,"لذلك اقتنعت بالفكره. فقمنا بتصميمه ليكون على شكل ايقونات وصور، ليبدو مختلفاً, وليبدو كشئ للاطفال, لكن ايضا ليس لعبة.",19
208747,"وفيما سترونه لاحقا، هذه الرباعيات ستتصرف مبدئيا وكأنها موجودة على بلوتو.",11
33835,وتزن ما يقارب 300 باوند .. ولايمكنك السباحة في الهواء اثناء ارتدائها,12
3747,"وهذا يفسر، بطريقة أو بأخرى، تهافت المنظمات الطوعية لتقديم الواقيات بتكلفة أقل أو بالمجان.",14
4685,"وإن لم تفعل ما آمرك به، فعندما تموت، سيعاقبك الرب، ويرسلك إلى الجحيم.""",13
211470,"انها دائرة الفضيلة، ومن الممكن اعادة تنفيذها في اماكن اخرى في بلدان نامية اخرى.",14
173077,"فهذا هو الحال دائما-- كلما اقتربت من كوريا الشمالية، كلما كان ذلك مخيفا.",13
1230,"هناك قرابة مليار لاعب على الكوكب إلى حدّ الآن، لهذا فنحن نحتاج أمرا أكثر تحدّيا.",15
111929,"فنظرت لنفسي واقفاً هناك مخاطباً: ""أوه، جيمي"" إن هذا كله هراء",11
199139,أصبح هناك بطاقةات بريدية لأبوسيم بيلي وأزرار أبوسيم بيلي وأباريق أبوسيم بيلي للكريمة,13
65891,"مثل, عندما تشعر انك تقضي وقتا جيدا متى تشعر ان الوقت الجيد قد انتهى ؟",15
92925,هذا مثال لسجين آخر يظهر كيف يتم التعامل مع هذه الطلبات.,11
109487,"هناك بعض الخطر، وهناك بعض الأفخاخ. فخ واحد : العمودي.",10
48626,"وفي الصميم، كلا الثورتين، أعتقد، كانتا تطرحان ذات الأسئلة: من هو المعنيّ بالممارسة؟",13
169920,"أفعل هذا بسبب أمرأة عجوز في قريتي الآن، فقدت أولادها.",10
225932,"وكانت تتحدث عن حياتها أثناء مقاومتها للسرطان. وكانت تكتب وتكتب وتكتب،",11
68096,اذا . .ما يبدو مشكلة فيما يتعلق بالديانة الاسلامية ليست اكثر من تقليد قديم .. بدء المسلمون اعتماده,18
83292,"جماهير في أنحاء العالم ، أريد أن أقول أن هذا هونموذج الولايات المتحدة.",13
25260,لهذا ارتعب. ولم ينظر حتى يميناً أو شمالاً. لئلا يقع ناظريه على أي رؤية مشجعة.,15
205137,"سوف آخذ الرافضون، لأنهم سوف يجعلون حجتي أفضل و أقوى.",10
60614,"هذا، سواء أنت تهتم بالأمن، البحث والإنقاذ أو الصحة فعلينا الحفاظ على تصاميم الطبيعة وإلا ستضيع هذه الأسرار للأبد.",19
222129,ولكن إذا شغلنا تعقب الرأس يمكن للحاسوب أن يغير الصورة على الشاشة ويجعلها تتجاوب مع حركة الرأس,17
38920,وفي نفس الوقت ستذهب وتسأل الناس ما هو المعدل المئوي لتسليم البريد الممتاز في اليوم التالي,16
76915,"لذلك نحن لسنا أوعية فارغة ، النماذج الذهنية التي لدينا كأطفال تصل لسن البلوغ.",14
228600,وعندما تنقسم يكون حجم الفقاعة الممثلة للبلد هو حجم السكان هناك,11
135,فيما يلى مجموعة صغيرة للتنفيس عن هذا الخروج من جانب تلك الدعامة.,12
86091,و هذا ما جعل الفيلة حيوانات عارية وجود الاسلاف المائية,10
3120,انهم حتى لو لم يطلبوا سيحصلون على الكثير من المتطوعات,10
122364,"عام 2000، بدأت في توثيق قضايا الصحة العالمية، بالتركيز أولاً على الإيدز في أفريقيا.",14
214760,أنا استطيع أن أخرج جناحي في أي وقت عندما أكون في حالة دوران أو عدم أستقرار.,16
182831,"بعد ثلاث شهور قضيتها في البحر، وفي عمر 24 حصلتُ على الترتيب الثاني في السباق.",15
124454,الزوج : حسناً .. قومي بما اخبرك به .. اطوي هذا الوشاح ثمان طيات,14
137657,واذا كانت لديكم أية أفكار بامكانكم مشاركتنا أياها عبر تويتر.,10
30046,وعلى الرغم من أنه يمكنك أن ترى هذا الرجل الجالس على اليمين قد امسك به.,15
174607,"مقارنة بما كان يستعمله أجدادنا، فأنه يوجد تشابه غريب لما صنعه كانزي.",12
113031,ماسترونه في الحقيقة هو إستخدامها للساق نصف الدائرة كقدم موزعة,10
63331,"[إذا ها هي الخطة: ثلاجة رخيصة لا تستخدم كهرباء...] [...بروبان، غاز، كيروسين أو مواد إستهلاكية]",15
227287,لذلك أريد أن يكون بمقدور الجمبع في العالم أن يكونوا قادربن على المشاركة في عملية التصميم والتطوير هذه.,18
141490,بدأ مشروع Second Life ب ستة عشر حاسب والان لدينا أكثر من 20 ألف حاسب.,15
60817,ربما تفاجأ عندما تعرف أن الناس الأذكياء يستطيعون الإحتفاظ ب 120 شيئ في عقلهم .,15
163773,80 في المائة من الأفارقة لا يزالون يعتمدون على الطب التقليدي.,11
26853,"لحين تُحل هذه المشاكل، سيظل الناس يلجؤون للبحر ليطلبوا اللجوء والامان.",11
182493,"هنلك لاعبين اثنين مهاجمين و لاعبين اثنين مدافعين, مستدعين ليقوموا رقصة ال""بيك اند رول"".",14
44717,"ومن ثم قام أحدهم , أعتقد أنها شركة بي إم دبليو بتقديم ضوء يخفت بصورة تدريجية",16
111039,الثاني علينا تغير منحى الاستهلاك .. من خطي الى حلقي كي نقلص التلوث الناتج عن ذلك,16
168371,"بونو: إنه إسم إيرلندي. بونو : [غير واضح] شكراً جزيلاً لك، لكن دعني أخبرك بهذا.",15
219259,و افترض انني اناقش حول ضرورة ان نتعلم القليل عن ما يحدث في الفن الماساوي.,15
79784,"ليس بقصد استبدال الوظيفة المفقودة, لا بل لمساعدة الدماغ بمساعدة نفسه",11
221573,"["" ما الجمل إلا ملاكاً"" كما قال بدويّ ذات مرة]",10
181322,"أنت محق بخصوص التمويل فنحن نتنافس، ولكن من الناحية العلمية فهي متكاملة.",12
89768,"ان دبي ، بالنسبة لي ، هي كاليد التي تدعم كل من يريد أن يجعل الأشياء تحدث.",17
26351,"كل ذلك عندت ظهرت هذه الاشكال الكبيرة السيمفونيات، والسوناتات، والكونشيرتو.",10
111387,وانا ارجع كثيرا الى يومياتي و ارى ما إذا كنت اريد تغيير شي عن الوضع.,15
66687,يستخدمن التفاوض و التسامح فى كثير من الأحيان من رد الفعل المسلح.,12
178379,يجب أن لا تعود ولا إمرأة واحدة إلى العمل بينما هي تعرج وتنزف.,13
203323,ربما يجب عليهم ان يكونو قادرين على اتخاذ الفرص و الارتجال,11
77737,"حين تفكرون في الأمر، فنحن مقيدون جدا في تصفحنا للشبكة تذكر الروابط، وحفظ المواقع",14
134824,"والمكونات الرئيسية معروفة : السياسة , التعليم والتدريب النظام , الطوب والمِلاط.",12
78949,"يمكنك، كما تبين، ان تكون في مكانين في أن واحد.",10
29128,لقد حددنا أكثر من 400 نوع من النحل في ولاية بنسلفانيا.,11
130783,"عندا وصلنا إلى أسفل مصب النهر الجليدي، وجدنا ان الثلوج تحجب عددا من الصدوع العميقة.",15
107833,"إنها شيء غير محصور على ""جيمس كاميرون"" حول العالم ولكنه شيء نشارك فيه جميعًا",14
222259,ألم لاذع -- يحصل لك عندما تقضم آيس كريم. سيطر علي الألم ثم أطلقني ثم اعتراني مرة أخرى,18
118785,هذا العمل البصري البسيط والقيام به مرارًا وتكرارًا يقود لنتائج ذات أهمية كبرى.,13
11923,"لكن الفضل يعود له في وضع المثل، "" لأنه هناك. """,11
53608,"أعتقد أن هذا يعني "" السلطة الإلهية للمحيطات"" بلغة بولينيزية.",10
94998,"ولإختصار القصة الطولية، بعد ثمانية أشهر لاحقاً قمنا بملئ مركز شيكاغو الثقافي المعرض بمساحة 3000 قدماً مربعة.",17
159192,"فجأة، كان التهديدان المشتركان الذي دفعا البلدين للتمتين العلاقات معا طيلة عقود، قد تلاشى.",14
121347,"عام ٢٠٣٠ - ملياران منطقة عشوائية، شخصٌ واحدٌ من بين أربع أشخاص على كوكب الأرض.",15
12612,الفنان M.C. Escher إتسغل ذلك في بعض أعماله الفنية الرائعة.,10
92630,"إنهم يفكرون أكثر كإمبراطوريات أو سلطات عليا , عادة مثل الصينين أو اليابانيين .",14
31352,"كل قرار منفرد, يجب أن نفكر في ما هو صائب لكلا الجانبين.",12
189446,"ولكن بعد المرور الطعام خلال الجهاز الهضمي، وعندما يتم التخلص منه على هيئة البراز، لن يعود التحدث عنه أمراً لائقاً.",20
58070,"والأمر المدهش هنا بالنسبة لي ليس الرنين، رغم أنه مذهل.",10
27850,"وكأي شخص آخر، يسلم صناع القرار بأن الأسواق الجديدة هي حكر على منظمات قوية بما فيه الكفاية لخلقها لوحدها.",19
67030,انها دولة ذات تعداد سكاني يقارب 45 مليون نسمة. انها ذات اقتصاد ناشئ,13
123655,"نادرا ما نلاحظ أن هناك شيء مختلف من لحظة لأخرى, مع السحاب المتحرك",13
189856,"وكنتيجة لذلك، المتحمسون للمدن يتحدثون عن انتصار للمدينة، للطبقة المبدعة، ورؤساء البلديات الذين سيتحكمون في العالم.",16
110623,"وواحدة من الميزات التي طورتها "" ميكربوت "" هو طباعة الصناديق",11
224253,♫ وهذا هو تقدير جيد مع مراعاة نسبة الخطأ ♫,10
175632,"مبدئيا , كنت أعمل في مهمة جغرافية عالمية ، صور تقليدية ، إطار فردي ، تصوير عادي .",18
183334,"النساء في سن 20 يبتسمن أكثر من الرجال في نفس السن، ربما لضرورة التعارف.",14
7653,"إذا-- آآآي هي الكلمة المناسبة -- إذا رأيت ذلك ، و كنت بكتريا، فإن هذا أسوأ كابوس مرّ عليك.",19
137739,"و حقيقة, بما ان التفاصيل في تحسن والجودة في تحسن اسعار الماكينات ايضا انخفضت و هي الان اكثر سرعة",19
200115,"لصنع الوهم الروبوتي، يجب علينا أن نشرع مجموعة من القواعد الأخلاقية دستور، تعيش جميع الروبوتات به.",16
6847,باري فريدمان : اعتقد ان هذا التصليح سيتم في التحدث المقبل,11
163678,"كوامي نكروما ونيريري ، كينياتا -- أحدهم ذكر عيدي أمين.",10
199071,بدت حقاً عاجزة وكانك تريد فقط أن تحملها بذراعيك وتطمئنها.,10
186595,"أترون، في وقت متأخر عام 2009، ثماني سنوات بعد حادث الاطلاق، ذهب ""ريسدين"" في رحلته، إلى مكة للحج.",18
98947,"هذا يوازي 500 سعرة حرارية من 2,000، تحتاجها لكي يعمل دماغك فقط.",12
208217,"و كامل المنزل, و الممارسات المعيشية التسعة نقوم بالفحص و التحقق و اصلاح 250 جزء في كل بيت",18
95329,مطلب – قم بتغيير مصابيح الإضاءة ولكن علينا مع ذلك تغيير القوانين. علينا تغيير المعاهدات العالمية,16
221497,الأمر الذي يسهم في تحويلها إلى مياه مفيدة لجسم الجمل.,10
57857,انا مهتم ان اعرف كم شخص منكم هو بين الثالثة والثانية عشرة من العمر.,14
95143,هذه الآلات الصغيرة كان بإمكانها إنتاج شيئ من قبيل عشرة آلاف نقطة في الثانية.,14
62332,"لذلك، مهما كانت درجة الشذوذ التي تتّسم بها هذه المواضيع، فإنّها جميعا تُظهر الشيء ذاته.",15
58922,"الفلسطينيون القدماء، وهم أخطر الأعداء لمملكة إسرائيل، كانوا يعيشون في السهل الساحلي.",12
199793,"الاحتيال في المراقبة هو ما يحدث عندما يستخدمه المراقبين، وهم عادة المديرين التنفيذيين، لشركات تبدو شرعية، كسلاح للاحتيال.",18
204770,"إذاً بعد التجربة، خرجنا من الغرفة دون قول أي شيء.",10
138279,"وبينما نتكلم الآن، و تغير هاته النوتيات سلوكها لمصلحتنا عند تواجدنا.",11
163028,"تحدّث مع المزارعين. متى كانت آخر مرة ذهبت فيها إلى مزرعة، وتحدّثت إلى المزارعين؟",14
103205,"لذا فهناك احتمالان: أولا ، التصميم الذكى، بشكل مباشر أو غير مباشر -- كفكرة الإله مثلا، أو صديقى الفضائى.",19
203548,هل يمكن لهذا الثقب أن ينفتح بينما أنا نائم ؟,10
73010,"مع كل هذه البيانات هنا، قد تكون فكرة جيدة أن لا ننظر بعيداً جداً في ماضي من تحب.",18
105889,لذا الفكرة تستطيع العيش بالرغم من .. إنها لا تنتقل عن طريق الوراثة.,13
198486,لم يكونوا قادرين على سماع ما أقوله في سياق من 10 عروض مرئية في مؤتمرات متتالية .,17
139319,لقد طُلِب منا من قبل نظام كبير للرعاية الصحية في ولاية مينيسوتا أن نوصف لهم تجربة نزلائهم من المرضى.,19
180951,ولكن إليكم هذا-- في هذا الغبار الذي يحيط بالنجم المتشكل تم العثور على جزيئات عضوية مهمة.,16
73863,"أنجب ابتكاره حقل علمي جديد، الكيمياء الكهربائية، و تقنيات جديدة مثل الطلاء الكهربائي.",13
21492,"تمت مراجعته عدة مرات. لقد كان هناك الآلاف من التجارب, مئات الدراسات, وهناك بعض النتائج الملزمة حقاً.",17
180609,"وهي الشركة التي قامت بصنع جميع البدلات المستعملة في برنامج أبولو، و جميع بدلات الأنشطة التي تحدث خارج المركبة.",19
109652,"حقيقة أنك تولد، ثم تعيش، ثم تموت، دائما بهذا الترتيب، هذا بسبب تزايد الإنتروبيا.",14
48244,سأبدأ بتقديم أحد الأشخاص الذين تغيرت حياتهم بفعل سوقٍ تحكمه السمعة.,11
127357,إذن الفكرة أن تقوم بتغيير التربة فلا تنمو البذور أيضاً,10
23367,"مثل الكثير من أفكاري ، مثل الكثير من الأدوات التي أستخدم ، لقد وجدتها في الحديقة. أنا بستاني بارع للغاية.",20
111899,"كان هذا قبل أربع سنوات، حينها أنطلقت في رحلة ولأكون صادقاص، كانت رحلة للتحرر.",14
205142,"أخذت ابنتي ذات الـ12 عامًا معي، لأنني أردتها فعلًا أن تقابل غايلا.",12
94410,إذاً هذا يعني أن الشلال هو طريقة لقياس المكان .,10
174208,و أضفنا بعض الأشياء التي نتمنى بأنها تكون مفيدة لكم,10
92438,لكن الذي لم يكن صحيحاً هو ما يحدث بعد ذلك.,10
163173,كأنني أعطيتك سيارة جديدة وأنت تشكو من عدم العثور على موقف للسيارة.,12
13754,"كل شئ يدور حول منتجات وخدمات محلية تدعم جيرانك في الحي سواء كانت أجبان، نبيذ أو منتجات أخرى",18
108343,و لأننا لم ننفصل أبداً و اعتقدت أننا ستبقى معاً للأبد لم أقم حتى بضمها عندما رحلت.,17
199132,"كانوا سوف يقدمون له طبق جنوبي متميز، في الحقيقة رفاهية دعي الأبوسيم والتايترس.",13
217623,"صحيح أننا سمعناها ولكن سلسلة "" مقاتلوا الجراثيم الرواد "" كانت تسيطر على الموقف دائما",15
217393,هذه الفكرة البسيطة تفسر لماذا بعض الشركات .. او بعض القادة قادرون على إلهام الآخرين على عكس منافسيهم,18
206684,إن الخطوط الحادة والهشة التي يتميز بها تكوين هذه السحب يجعلها الأفضل لاكتشاف الأشكال,14
198585,"بتطفلهم بهذا الشكل على ملفات الناس، نعم، لقد خرقوا القانون، لكنهم أيضاً أجبروا الشركة المصنعة على إصلاح منتجهم.",18
165308,استغرق عملهم حوالي سنتين بحث الموضوع بشكل مستقل ومن ثم نشر نتائجهم في مجلة العلوم في 1999.,17
140507,تحريك الصور: اذا كنت تظن بتحرير المسرح ليس لدينا الكثير منهم,11
60318,"حتى إنه يوجد على الملابس الداخلية النسائية. ولكن مركزا في عبارة: ""ماذا عن أبدًا .. هل أبدًا يناسبك؟""",18
90788,ويمكن ان تروا هنا الاخشاب المقطعة .. والتي قمت بتحضيرها ..,11
11648,لماذا لا نكون كفريق واحد؟ لماذا لا نقيم هدنة في الحياة؟,11
104264,فهل حقا يمكننا ان نصنع قائمة طعام لذيذ من دون كبد الأوز,12
122503,تعلمت ايضاً كيف أن معظم أشكال الطاقة التي لا يمكن السيطرة عليها يمكن تسخيرها للخير وجعل المجتمع أفضل .,19
164955,"أول شئ رأيته كان شمال أمريكا في الليل -- متوهجة ، كلها متوهجة. مشاعر دافئة. ضوء.",16
1715,"إدا طلبتم من أصدقائي و عائلتي أن يصفوني، فذلك ما سيقولونه لكم.",12
137018,وأفضل نظام يمكن تصميمه من أجل هذا الغرض هو نظام حيث يصنع بضعة أشخاص قراراتهم اليومية باسم الكثير من الناس,20
165149,وإذا كنت تملك حبة لقاح فإنه نظريا يمكنك تبين المكان الذي جاءت منه,13
53202,"جميل جدا إلى درجة أنني سأتخلى عن ضحكة لأشرح مدى حبي لهذا الكوكب بذاته، ويوم السبت، سمي بسببه، بروعة.",19
162350,"أخذ منى الأمر عدة سنوات لكن بمساعدة عائلتى التى دعمتنى بشكل مذهل، قررت أخيرًا أن الحياة لا تزال جديرة بالعيش.",20
157983,"هذا يعد اكبر مشروع علمي ممول من الجموع الذي نعلم عنه اكثر من 8,000 شخص حتى الان سجلوا للمشاركة .",20
112178,وأدركت أنني اكتشفت أمراً ما والذي يمتلك امكانية كبيرة لتغيير العالم.,11
117441,"فحين يكون هناك عرس في الحي، كنا نطلي منازلنا من أجل العرس..",12
166336,"لقد بدأت بهذه الجملة قبل حوالي 12 عاما، وبدأت في سياق بلدان نامية، ولكنّكم اليوم هنا من كلّ أنحاء العالم.",20
146712,"وواحدة من التطبيقات التي كنت اعمل عليها والتي جذبت اهتمام العالم أجمع هي العمل على تشريح "" إفتراضي "" للجسم",20
140152,"نحن لا نحاول أن نبدأ تمويلا, لكن نريد شخصا آخر أن يفعل هذا.",13
201733,كريس: ربما يحتاج الأمر إلى شخص ما تستثيره الأرقام والرسومات البيانية عوضا عن ذلك الوجه الكبير الحزين ليتم استقطابه.,19
199910,مايكل تيلسون توماس: ألحن هو أم إيقاع أم مزاج أم سلوك؟,11
155261,"وفي القرية أيضا، هناك رئيس واحد، الأكبر، الذي إذا قال نعم، الجميع سوف يرضخ.",14
167777,"اعتقد، انه خلال استمتاعي بحياتي كعازفة سعيده، اني اكسب تقدير اكثر بكثير مما حلمت به يوماً.",16
51286,"تمت تقوية القاعدة من خلال القوة الاجتماعية للتشارك وهي تهدد النماذج القديمة، النماذج التناظرية القديمة للتحكم والسيطرة.",17
39001,"وأيضا, أول مرة أتذوق فيها طعم التنميط الثقافي كانت هناك.",10
194430,"حسنا، للإجابة لهذا السؤال، دعونا نشاهد الشكل الذي اتخذته المعلومات، ظاهرياً في الماضي.",13
48027,"و ثانياً ، لابد أن تكون بسعر معقول أكثر من سيارات اليوم .",13
20780,"نحن مهوسو حمض نووي والحمض النووي هو الأرخص, والأسهل في الفهم و الأسهل للاستخدام لبرمجة المواد لفعل هذا",18
