ID,MSA,Words
18277,لقد عانيت من ال تي بي في أوائل العشرينات من العمر .,12
1841,هل يمكنك أن تسأل عن إمكانية ركوب طائرة تالية ؟,10
16977,"توجد القهوة على المنضدة هناك ، ولذلك عليك بمساعدة نفسك بنفسك .",12
18065,أود التقدم بطلب لاستصدار جواز سفر لي مرة أخرى .,10
2122,أنا في الحمام . لا توجد مياه ساخنة في الدش .,11
12726,لقد قطع الخط . هل يمكنك إعادة الخط لي ؟,10
1075,كيف أضعها ؟ من المهم جداً أن تكون هناك .,10
16045,"هل لي أن أري تلك القبعة المعروضة في الفاترينة , من فضلك ؟",13
19445,"هل يمكن أن أحضر لك شيئاً ، بلاستر لاصق أو أي شيء من هذا القبيل ؟",16
13897,"نعم ، تستطيع الدفع بالين . المبلغ ألفين وسبعمائة ين .",11
7123,"يمكنك رؤية مبنى ابيض اللون ، أليس كذلك ؟ إنه أمام ذلك المبنى .",14
14439,نريد أن نقسم هذا الطعام . هلا أحضرت أطباق صغيرة ؟,11
9969,إنني أسجل لخروجي من الفندق . هلا أرسلت خادماً إلى أعلى ؟,12
14319,"بالطبع ، هذا القاع يمكن أن يمدد أو يقلص كما تحب .",12
3239,"أنا أسف . انظر ، سأدفع كل شئ . لا تستدعي الشرطة فحسب . والدي سيقتلني .",17
8581,كيف أصل إلى هناك ؟ أيمكنك أن تشير لي إلى المكان على هذه الخريطة ؟,15
14412,هل يوجد أية فنادق قريبة من هنا ؟ من فضلك ارسم لي خريطة .,14
3360,لا أصدق إنه يجب أن أعود لليابان . أتمنى أن أمكث فترة أطول .,14
12691,هل ثمة مطعم جيد يطل على منظر لطيف بالقرب من هنا ؟,12
16567,لقد نشلت . كان معي حوالي مائتا دولار في المحفظة .,11
7590,"جواز السفر و استمارة إعلان الجمارك من فضلك ، هل هناك شئ لإظهاره ؟",14
17721,نتوقف عند فندق بيفرلي . يمكنك أن تنزل هناك . إنها تبعد دقائق سيراً إلى القمة .,17
16816,من فضلك احجز مائدة لأربعة أفراد الساعة السابعة . اسمي ساكاتا .,12
11385,"العاشر والحادي عشر من أكتوبر ، والمغادرة في الثاني عشر .",11
16074,هل يوجد أي غرف خاصة متاحة في الدرجة الأولى ؟,10
11753,أعاني من حمى خفيفة وعندي أيضاً ألم في الصدر في الجانب الأيمن عندما أسعل .,15
6713,"نعم . أعتقد أنني سآخذ بيضاً ، نقانق ، خبز محمص وفاكهة طازجة .",14
3866,أنا آسف . لقد أعطيتها لشخص آخر يقيم في نفس الغرفة .,12
17036,حسناً . لحظة واحدة . سأرسل شخصاً إلى الغرفة بالطابق العلوي .,12
7835,"حسناً ، دعني أرى . إنه أكثر من ميزانيتي .",10
10831,"حرف "" ت "" "" كما في توم ، نعم ها هي لدي هنا ، تارو .",17
10524,استقل القطار السريع الخط (ن) إلى شارع القنال . ثم بدل إلى الخط (ص) .,15
15023,هل يمكنني إحضارهم كلهم ؟ إنني أحتاج إليهم فعلاً .,10
5596,"من فضلك ، احضر طعام الإفطار إلى غرفتي في السابعة من صباح الغد .",14
12664,"نريد فطير كرز تحلية ، وقهوة ، من فضلك .",10
16724,دعني أقيس درجة حرارتك . هل لديك شهية للطعام ؟,10
9628,هل يمكنك بطريقة ما أن تصف لي مرضك بالإنجليزية ؟,10
4313,"نعم ، إنه برج ميموريال : أحد أشهر المباني بالمدينة .",11
16859,أحبها حيث إنني كنت أريد زيارتها منذ وقت طويل .,10
825,وماذا عن الديكور . هل ستقوم بإعادة طلاء الغرف عندما يقطن بها المستأجر ؟,14
8759,أتطلع إلى رؤيتك ثانية حوالي هذا الوقت العام القادم .,10
18734,أعلام على شكل أسماك مرفوعة و دمى ساموراى معروضة حولنا هذا اليوم .,13
11767,"أريد غرفة مفردة بحمام لقاء ثمانين دولارا ، من فضلك .",11
261,"عندما تصل هناك أسأل شخص آخر ، من فضلك .",10
19833,كانت سرعتك خمسة وأربعين ميلاً في الساعة في منطقة لا ينبغي تجاوز السرعة فيها ثلاثين ميلاً في الساعة .,19
5934,أريد أن أحجز على شركة نورث وست إيرلينز على الرحلة رقم صفر ثمانية ستة في الخامس .,17
8086,أريد الذهاب إلى باريس . هل أضطر إلى تبديل قطارات ؟,11
1044,"مبروك يا هنرى ، أنا سعيد لسماع خبر خطوبتك من جين .",12
11508,تركت حقيبتي في مقعدي . هلا بحثت لي عنها ؟,10
4752,هل يوجد هناك أية حافلة تتجه إلى المدينة عقب المباراة ؟,11
13007,يتوقف الأمر على أي من فصول العام تزور فيه المكان .,11
10172,هل يمكن أن تعلق جاكتي على المشبك من فضلك ؟,10
459,"أو ، نعم . لقد قرأت عنه في الدليل .",10
11068,"هل يمكن أن أخذ مقعدا على هذا الممر ، من فضلك ؟ نحن نريد مقعداً لغير المدخنين .",18
1192,أود تغيير حجزى . هل لى أن أغير رحلة ب أأ خمسة صفر خمسة إلى الرحلة خمسة صفر خمسة ؟,20
3735,أظن أنني قابلتك من قبل . أنا كينيتشي يامادا من شركة نانيو للتكنولوجيا .,14
1959,ها هي خمسة دولارات دون أي سنتات . احتفظ بالباقي .,11
6094,إننا لا نعرض الخواتم إلا واحداً في كل مرة .,10
2947,يجب أن لا تكون طويلة . خمسة عشر دقيقة في الأغلب .,12
16205,هل يمكنني أن أنتقل إلى غرفة تطل على المحيط ؟,10
187,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,17
10294,أريد حجز مقعد إلى بوسطن . هل يمكن أن أخذ المقعد اليوم في الثالثة والنصف مساءاً ؟,17
13743,"مائة دولار نقدا ، ثلاثمائة دولار شيكات مصرفية ، وبطاقتي الائتمانية .",12
19482,"آسف لإزعاجك ، ولكن هل يمكنك التفضل بأخذ صورة لنا بهذه الكاميرا ؟",13
14169,هل من الممكن أن نشاهد فيلما على هذه الرحلة ؟,10
7533,من فضلك هل لك أن ترسل بواباً إلى غرفتي في السادسة صباحاً ؟,13
2486,"سأغادر في السابعة من صباح الغد ، لذا أريد فاتورتي من الآن .",13
19953,"لأن في أمريكا , من السهل الالتحاق بالكلية ولكن من الصعب التخرج فيها .",14
14139,هل من الممكن أن تساعدني في تحديد أي جولة أنضم إليها غدا ؟,13
17609,"أربعون دولار يومياً ، بالإضافة إلى ثمانية سنت لكل ميل .",11
3758,هل لك أن تحضر لي بعض الثلج كوبين من فضلك ؟,11
14021,"أعتقد أني سوف أخذ التي قيمتها خمسين سنتا . أعطني اثني عشر واحدة , من فضلك .",17
15992,أريد تناول وجبة عشاء بأقل من ثلاثين دولاراً بما في ذلك المشروبات .,13
19573,"ليس لدي حجز ، ولكن هل يمكنني الغوص هذا العصر ؟",11
13816,أين بوابة الركوب ايه . ب . سي . واحد صفر واحد ؟,13
14026,أريد أن أحصل على هدية تذكارية بقيمة حوالي خمسين دولارا .,11
1645,أود أن أغير الرحلة الجوية إلى شيكاغو من التاسعة إلى الحادية عشر .,13
17616,عشرة طوابع فئة اثنين وثلاثين سنت من فضلك . هل يوجد لديكم أي طوابع جميلة ؟,16
11653,الجولة الوحيدة الباقية لليوم هي جولة المدينة . كل الجولات الأخرى هي جولات ليلية .,15
3685,هل يمكنك وضع عدسات نظر في هذا النظارة الشمسية ؟,10
17731,لا أستطيع فهم أي شيء يقوله الناس من حولي .,10
12167,"أجل ، ولكن هذا كثير جدا ، ولقد شبعت بالفعل .",11
11426,"هل يوجد لديكم مقاس ستة عشرة من هذا ، بلون أحمر ؟",12
9248,ما المنتج الذي أضاف كثيرا إلى ازدياد مبيعاتك العام الماضي ؟,11
11959,ما هي أحدث ألعاب الكمبيوتر لفتى سنه خمسة عشر عاما ؟,11
4738,هل توجد هناك أية رحلات طيران أخرى متوفرة اليوم ؟ لا بد أن أكون في لوس أنجلوس مساء اليوم .,20
15831,هل لك أن تخبرني برقم هاتف أحد شركات سيارات الأجرة ؟,11
7585,هل تعرف أي صالة ديسكو تستطيع الفتيات الذهاب إليها بأمان ؟,11
19360,أجل . أخشى أني مضطر لذلك . ما مدى حفظ الأمن في هذه المنطقة ؟,15
1743,"بالضبط . أنت تشاركنا في رأينا . علي فكرة , هو قال انك ذو سلوكيات حميدة .",17
12123,"بنزين عادي بعشرة دولارات على المضخة رقم ثلاثة ، من فضلك .",12
19324,"عصير برتقال ، بيرة ، خمر ، ويسكي وكوكتيل .",10
4522,هل أحتاج إلى جاكيت ؟ ماذا عن رباط العنق ؟,10
243,"لا أحب هذا اللون ، من فضلك أرني لوناً آخر .",11
3298,"أنا السيد تاناكا . لقد قمت بتسجيل الدخول للتو ، لكن الحجرة لا تعجبني .",15
8077,"إذا رغبت ، يمكنك أن تطلب الإفطار على الطراز الإنجليزي مقابل سعر إضافي .",14
14926,ربما لا يمكنني أن أتناول مثل هذا المشروب في أي مكان آخر .,13
4505,"هلا حجزت لي تاكسي الساعة السادسة صباح غد , من فضلك ؟",12
19251,"يتوقف الأمر على درجة حرارة المكان . ولكن في وسط اليابان , في أوائل أبريل .",16
14157,أجل . أبحث عن أحمر شفاه شانيل رقم خمسة وثلاثين .,11
5491,نود أن نمرح بممارسة رياضة فريدة من نوعها على الساحل الغربي .,12
5593,"في حالة حدوث شيء ما ، من فضلك كن على اتصال بي .",13
8726,"أوه ، بعض من رقائق البسكويت المملح . وهل بمقدوري إلقاء نظرة على فاتورة الحساب ؟",16
8635,معذرة . سقطتْ مني السكين . أيمكنك أن تأتيني بأخرى ؟,11
16781,هل لك أن تخبرني عن مكان تحليق الطائرة الآن ؟,10
18849,"اعتقد أننا قد أنهينا عملنا اليوم ، يا سادة .",10
7206,"صديقي مريض جداً . هل تستطيع أن تطلب دكتور ، من فضلك ؟",13
10061,"نعم ، لقد كان جيداً للغاية . شكراً لك .",10
8660,"الآن ، أين حقيبة سفري ؟ آه ، ها هي قادمة .",12
11030,عفواً . هل يوجد أي جسر بالقرب من هنا ؟,10
9212,"أنا آسف يا سيد شيمادا , السيد راسل في الخارج ؟",11
683,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .,11
14413,هل مازال معك تذاكر إلى بيج ريفر لهذه الليلة ؟,10
18434,من فضلك أحضر إلي في الساعة السابعة صباح الغد لأخذ حقائبي .,12
6499,"إنه غالية جداً علي . أرني واحدة أرخص ، من فضلك .",12
13919,أوه يا عزيزي . لم أدرك أنني لازلت لدي هذه الأشياء .,12
19851,أريد أن أضيف إلى حسابي خمسين دولاراً وعشرين ألف ين ياباني .,12
5772,آسف . لقد اتصلت بالرقم الخطأ . هذه وكالة تانكيوشا الصحفية .,12
8930,ربما هذا اشد كثافة نوعاً . هل لديك آخر أرفع ؟,11
19549,"طبعاً ، في هذه الحال ، ستقدم شركة الطيران تعويضاً .",11
15013,من فضلك استدعي سيارة أجرة في الساعة الثانية ظهراً .,10
4645,"أولا ، اسلك خط تشو . وفى أي مكان يتعين علي أي أغير القطارات ؟",15
18307,"شكرا . حسنا , دعني أرى . في الواقع , ليست هي التي أريدها .",15
5722,دعني أسأل عما إذا كانت إحدى محالنا الأخرى لديها هذا في المخزن .,13
17677,هل يمكنني الحصول على سلطة كرنب بدلاً من مجموعة السلطات هذه ؟,12
3709,"الطعام رائع والناس جادون في العمل ، لكن التلفاز صبياني .",11
5600,سأصل متأخراً ثلاثين دقيقة . من فضلك أرجئ تسجيل دخولي .,11
5862,ماذا هناك لكي نراه في هذا الجزء من المدينة ؟,10
13200,من فضلك أبلغه أن شيمادا قد اتصل وإنني سوف أزوره يوم الجمعة .,13
3737,"سنقيم حفلاً ودياً غداً . شاركنا ، هل ستحضر ؟",10
12997,"عندما رجعت إلى غرفتي , كانت كاميرتي قد اختفت .",10
5906,أريد أن أعيد التأكيد على رحلتي إلى شيكاغو في السابع عشر .,12
10753,"هل يمكن أن أرجع ظهر مقعدي إلى الخلف ، من فضلك .",12
9939,"خمس عشرات وعشر خمسات والباقي بالأرباع ، من فضلك .",10
14451,هل يمكنني أن أتحدث إلى أحد الموظفين اليابانيين المسؤول عن الاتصالات الهاتفية ؟,13
5280,"التالي من فضلك . جواز سفرك ، وبطاقة الهبوط , وإيصال الجمارك , من فضلك .",16
2462,هل يمكن أن أحصل على قمصاني نظيفة غداً صباحاً ؟,10
14134,"أنا آسف جدا ، لكن سوف أتأخر على الاجتماع . تعطلت من المواصلات .",14
15405,شيئاً سهل القيادة بعجلة قيادة يسرى ومن صنف اثنين لتر .,11
13327,"حسنا ، إن رياضة الجولف جزء من أعمالنا كما هي جزء من الترفيه .",14
565,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟,10
717,إنها بأعلى هنا على الحائط ومفتاح التكييف هنا . هل هناك أي شيء آخر سوف تحتاجه سيدي ؟,18
19081,هل يمكنك الاتصال به في صباح الغد كما وعدت ؟,10
16029,"في فندق بلازا ، غرفة رقم سبعة صفر اثنان .",10
7160,"انظر ، إنها ضخمة ، أليس كذلك ؟ سأحضر لك شنطة لحمل بقية الطعام لاحقاً .",16
15612,كم عدد أيام العطلات التي تحصل عليها في العام ؟,10
19219,"آسف ، ليس معي أية فكة . هل يمكنك إعطائي تسعة تسعين دولاراً ؟",14
5007,"من فضلك ، اسطوانة واحدة لفيلم أبيض وأسود عشرين صورة .",11
2742,"تذكرتان ذهاب إلى واشنطن دي سي العاصمة ، من فضلك .",11
18958,"لدينا برتقال ، تفاح ، جريب فروت وعصير طماطم .",10
16130,"أجل , سيدي . آتي هنا للإفطار كل يوم , من الاثنين حتى الجمعة , قبل الذهاب للعمل .",19
14710,أعتقد اننا نفعل ذلك . سوف أتحرى الأمر و سأعود في الحال .,13
15878,يبلغ عدد سكان طوكيو حوالي اثني عشر مليوناً . إنها مزدحمة وسعر السكنى مرتفع .,15
6824,هل رحلة النصف يوم هذه تقدم خدمة التحدث باليابانية ؟,10
18921,ايكيبانا هو فن ترتيب الزهور . هناك اكثر من ثلاثة آلاف مدرسة ايكيبانا في اليابان .,16
16028,أنهم في العادة عبارة عن تساقط ثلجي خفيف سمكه بوصة أو اثنين .,13
10350,"أيهما أكثر برودة في الشتاء , اليابان أم استراليا ؟",10
5690,أية حافلة يجب أن تـقلني إلى فندق سكاي واي ؟,10
7630,"لا . شكراً لا أستطيع . في الحقيقة , أنا مرتبط بشخص ما .",14
8969,الشارع مختلف عن ذلك الذي مررنا منه أمس . هل هذا طريق مختصر ؟,14
4951,"ما دمنا نستطيع الوصول ساعة مبكراً ، فإنني لا أمانع في دفع مبلغ أكثر قليلا .",16
482,هل هناك وجبات في مكان التزلج فوق هذا المنحدر ؟,10
11064,"حسنا ، لا أعلم بعد لكنني سوف أحاول بالتأكيد .",10
1139,نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .,12
